"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"1.3 Valsheidsmisdrijf";"2011";"Nederland";11715
"1.3 Valsheidsmisdrijf";"2012";"Nederland";12050
"1.3 Valsheidsmisdrijf";"2013";"Nederland";9575
"1.3 Valsheidsmisdrijf";"2014";"Nederland";9850
"1.3 Valsheidsmisdrijf";"2015";"Nederland";18415
"1.3 Valsheidsmisdrijf";"2016";"Nederland";24710
"1.3 Valsheidsmisdrijf";"2017";"Nederland";27380
"1.3 Valsheidsmisdrijf";"2018*";"Nederland";27725
"1.3 Valsheidsmisdrijf";"2019*";"Nederland";36055
"1.3.1 Muntmisdrijf";"2010";"Nederland";1205
"1.3.1 Muntmisdrijf";"2011";"Nederland";965
"1.3.1 Muntmisdrijf";"2012";"Nederland";1130
"1.3.1 Muntmisdrijf";"2013";"Nederland";1425
"1.3.1 Muntmisdrijf";"2014";"Nederland";1915
"1.3.1 Muntmisdrijf";"2015";"Nederland";2430
"1.3.1 Muntmisdrijf";"2016";"Nederland";1980
"1.3.1 Muntmisdrijf";"2017";"Nederland";1600
"1.3.1 Muntmisdrijf";"2018*";"Nederland";1445
"1.3.1 Muntmisdrijf";"2019*";"Nederland";1545
"1.3.2 Valsheid in zegels en merken";"2010";"Nederland";175
"1.3.2 Valsheid in zegels en merken";"2011";"Nederland";180
"1.3.2 Valsheid in zegels en merken";"2012";"Nederland";215
"1.3.2 Valsheid in zegels en merken";"2013";"Nederland";190
"1.3.2 Valsheid in zegels en merken";"2014";"Nederland";205
"1.3.2 Valsheid in zegels en merken";"2015";"Nederland";250
"1.3.2 Valsheid in zegels en merken";"2016";"Nederland";250
"1.3.2 Valsheid in zegels en merken";"2017";"Nederland";195
"1.3.2 Valsheid in zegels en merken";"2018*";"Nederland";185
"1.3.2 Valsheid in zegels en merken";"2019*";"Nederland";165
"1.3.3 Valsheid in geschriften";"2010";"Nederland";8465
"1.3.3 Valsheid in geschriften";"2011";"Nederland";10565
"1.3.3 Valsheid in geschriften";"2012";"Nederland";10705
"1.3.3 Valsheid in geschriften";"2013";"Nederland";7960
"1.3.3 Valsheid in geschriften";"2014";"Nederland";7730
"1.3.3 Valsheid in geschriften";"2015";"Nederland";15730
"1.3.3 Valsheid in geschriften";"2016";"Nederland";22480
"1.3.3 Valsheid in geschriften";"2017";"Nederland";25580
"1.3.3 Valsheid in geschriften";"2018*";"Nederland";26095
"1.3.3 Valsheid in geschriften";"2019*";"Nederland";34340
"1.4 Heling";"2010";"Nederland";5965
"1.4 Heling";"2011";"Nederland";6250
"1.4 Heling";"2012";"Nederland";6335
"1.4 Heling";"2013";"Nederland";6305
"1.4 Heling";"2014";"Nederland";6940
"1.4 Heling";"2015";"Nederland";6735
"1.4 Heling";"2016";"Nederland";5845
"1.4 Heling";"2017";"Nederland";5255
"1.4 Heling";"2018*";"Nederland";5560
"1.4 Heling";"2019*";"Nederland";6355
"1.5 Afpersing en afdreiging";"2010";"Nederland";1010
"1.5 Afpersing en afdreiging";"2011";"Nederland";1035
"1.5 Afpersing en afdreiging";"2012";"Nederland";1100
"1.5 Afpersing en afdreiging";"2013";"Nederland";1370
"1.5 Afpersing en afdreiging";"2014";"Nederland";1515
"1.5 Afpersing en afdreiging";"2015";"Nederland";1635
"1.5 Afpersing en afdreiging";"2016";"Nederland";1665
"1.5 Afpersing en afdreiging";"2017";"Nederland";1520
"1.5 Afpersing en afdreiging";"2018*";"Nederland";1765
"1.5 Afpersing en afdreiging";"2019*";"Nederland";1775
"1.6 Bankbreuk";"2010";"Nederland";85
"1.6 Bankbreuk";"2011";"Nederland";140
"1.6 Bankbreuk";"2012";"Nederland";190
"1.6 Bankbreuk";"2013";"Nederland";115
"1.6 Bankbreuk";"2014";"Nederland";170
"1.6 Bankbreuk";"2015";"Nederland";180
"1.6 Bankbreuk";"2016";"Nederland";180
"1.6 Bankbreuk";"2017";"Nederland";115
"1.6 Bankbreuk";"2018*";"Nederland";105
"1.6 Bankbreuk";"2019*";"Nederland";95
"1.7 Witwassen";"2010";"Nederland";335
"1.7 Witwassen";"2011";"Nederland";455
"1.7 Witwassen";"2012";"Nederland";495
"1.7 Witwassen";"2013";"Nederland";640
"1.7 Witwassen";"2014";"Nederland";655
"1.7 Witwassen";"2015";"Nederland";570
"1.7 Witwassen";"2016";"Nederland";610
"1.7 Witwassen";"2017";"Nederland";695
"1.7 Witwassen";"2018*";"Nederland";900
"1.7 Witwassen";"2019*";"Nederland";1390
"1.8 Vermogensmisdrijf (overig)";"2010";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2011";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2012";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2013";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2014";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2015";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2016";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2017";"Nederland";0
"1.8 Vermogensmisdrijf (overig)";"2018*";"Nederland";5
"1.8 Vermogensmisdrijf (overig)";"2019*";"Nederland";0
"2 Vernielingen, misdr.openb.orde/gezag";"2010";"Nederland";185955
"2 Vernielingen, misdr.openb.orde/gezag";"2011";"Nederland";182190
"2 Vernielingen, misdr.openb.orde/gezag";"2012";"Nederland";162415
"2 Vernielingen, misdr.openb.orde/gezag";"2013";"Nederland";141135
"2 Vernielingen, misdr.openb.orde/gezag";"2014";"Nederland";135400
"2 Vernielingen, misdr.openb.orde/gezag";"2015";"Nederland";122835
"2 Vernielingen, misdr.openb.orde/gezag";"2016";"Nederland";115525
"2 Vernielingen, misdr.openb.orde/gezag";"2017";"Nederland";102085
"2 Vernielingen, misdr.openb.orde/gezag";"2018*";"Nederland";93455
"2 Vernielingen, misdr.openb.orde/gezag";"2019*";"Nederland";102050
"2.1 Vernieling en beschadiging";"2010";"Nederland";151155
"2.1 Vernieling en beschadiging";"2011";"Nederland";148570
"2.1 Vernieling en beschadiging";"2012";"Nederland";133515
"2.1 Vernieling en beschadiging";"2013";"Nederland";117920
"2.1 Vernieling en beschadiging";"2014";"Nederland";109995
"2.1 Vernieling en beschadiging";"2015";"Nederland";101845
"2.1 Vernieling en beschadiging";"2016";"Nederland";94525
"2.1 Vernieling en beschadiging";"2017";"Nederland";81535
"2.1 Vernieling en beschadiging";"2018*";"Nederland";72115
"2.1 Vernieling en beschadiging";"2019*";"Nederland";76790
"2.1.1 Vernieling aan auto";"2010";"Nederland";69950
"2.1.1 Vernieling aan auto";"2011";"Nederland";67740
"2.1.1 Vernieling aan auto";"2012";"Nederland";60440
"2.1.1 Vernieling aan auto";"2013";"Nederland";54615
"2.1.1 Vernieling aan auto";"2014";"Nederland";50215
"2.1.1 Vernieling aan auto";"2015";"Nederland";47705
