Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2017;18 - 24;34
Buurt 97   Boekelerveld;BU01530907;Enschede;2017;18 - 24;79
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2017;18 - 24;18
Buurt 00   City;BU01530000;Enschede;2018;18 - 24;962
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2018;18 - 24;251
Buurt 02   De Laares;BU01530002;Enschede;2018;18 - 24;262
Buurt 03   De Bothoven;BU01530003;Enschede;2018;18 - 24;966
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2018;18 - 24;402
Buurt 05   Getfert;BU01530005;Enschede;2018;18 - 24;674
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2018;18 - 24;285
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2018;18 - 24;742
Buurt 08   Boddenkamp;BU01530008;Enschede;2018;18 - 24;196
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2018;18 - 24;575
Buurt 11   Wooldrik;BU01530101;Enschede;2018;18 - 24;93
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2018;18 - 24;170
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2018;18 - 24;357
Buurt 14   Sleutelkamp;BU01530104;Enschede;2018;18 - 24;28
Buurt 15   't Weldink;BU01530105;Enschede;2018;18 - 24;1
Buurt 16   De Leuriks;BU01530106;Enschede;2018;18 - 24;10
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2018;18 - 24;273
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2018;18 - 24;488
Buurt 22   Pathmos;BU01530202;Enschede;2018;18 - 24;193
Buurt 23   Stevenfenne;BU01530203;Enschede;2018;18 - 24;608
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2018;18 - 24;259
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2018;18 - 24;426
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2018;18 - 24;238
Buurt 27   't Zwering;BU01530207;Enschede;2018;18 - 24;179
Buurt 28   Ruwenbos;BU01530208;Enschede;2018;18 - 24;110
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2018;18 - 24;703
Buurt 31   Twekkelerveld;BU01530301;Enschede;2018;18 - 24;603
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2018;18 - 24;304
Buurt 41   Bolhaar;BU01530401;Enschede;2018;18 - 24;123
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2018;18 - 24;513
Buurt 43   Mekkelholt;BU01530403;Enschede;2018;18 - 24;255
Buurt 44   Deppenbroek;BU01530404;Enschede;2018;18 - 24;529
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2018;18 - 24;84
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2018;18 - 24;1675
Buurt 50   Schreurserve;BU01530500;Enschede;2018;18 - 24;287
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2018;18 - 24;232
Buurt 52   Park Stokhorst;BU01530502;Enschede;2018;18 - 24;219
Buurt 53   Stokhorst;BU01530503;Enschede;2018;18 - 24;64
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2018;18 - 24;201
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2018;18 - 24;438
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2018;18 - 24;154
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2018;18 - 24;394
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2018;18 - 24;374
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2018;18 - 24;260
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2018;18 - 24;358
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2018;18 - 24;336
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2018;18 - 24;337
Buurt 69   het Brunink;BU01530609;Enschede;2018;18 - 24;47
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2018;18 - 24;42
Buurt 71   Marssteden;BU01530701;Enschede;2018;18 - 24;3
Buurt 80   Glanerveld;BU01530800;Enschede;2018;18 - 24;75
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2018;18 - 24;238
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2018;18 - 24;260
Buurt 83   Eekmaat;BU01530803;Enschede;2018;18 - 24;142
Buurt 84   Oikos;BU01530804;Enschede;2018;18 - 24;161
Buurt 85   Eilermarke;BU01530805;Enschede;2018;18 - 24;156
Buurt 86   De Slank;BU01530806;Enschede;2018;18 - 24;26
Buurt 87   Dolphia;BU01530807;Enschede;2018;18 - 24;51
Buurt 88   Eekmaat West;BU01530808;Enschede;2018;18 - 24;195
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2018;18 - 24;118
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2018;18 - 24;145
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2018;18 - 24;121
Buurt 93   Noord Esmarke;BU01530903;Enschede;2018;18 - 24;26
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2018;18 - 24;25
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2018;18 - 24;90
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2018;18 - 24;28
Buurt 97   Boekelerveld;BU01530907;Enschede;2018;18 - 24;70
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2018;18 - 24;14
City;BU01530000;Enschede;2019;18 - 24;974
Lasonder, Zeggelt;BU01530001;Enschede;2019;18 - 24;251
De Laares;BU01530002;Enschede;2019;18 - 24;277
De Bothoven;BU01530003;Enschede;2019;18 - 24;920
Hogeland-Noord;BU01530004;Enschede;2019;18 - 24;391
Getfert;BU01530005;Enschede;2019;18 - 24;750
Veldkamp-Getfert-West;BU01530006;Enschede;2019;18 - 24;283
Horstlanden-Stadsweide;BU01530007;Enschede;2019;18 - 24;752
Boddenkamp;BU01530008;Enschede;2019;18 - 24;187
Velve-Lindenhof;BU01530100;Enschede;2019;18 - 24;579
Wooldrik;BU01530101;Enschede;2019;18 - 24;105
Hogeland-Zuid;BU01530102;Enschede;2019;18 - 24;169
Varvik-Diekman;BU01530103;Enschede;2019;18 - 24;336
Sleutelkamp;BU01530104;Enschede;2019;18 - 24;21
't Weldink;BU01530105;Enschede;2019;18 - 24;1
De Leuriks;BU01530106;Enschede;2019;18 - 24;13
Cromhoffsbleek-Kotman;BU01530200;Enschede;2019;18 - 24;378
Boswinkel-De Braker;BU01530201;Enschede;2019;18 - 24;493
Pathmos;BU01530202;Enschede;2019;18 - 24;193
Stevenfenne;BU01530203;Enschede;2019;18 - 24;574
Stadsveld-Zuid;BU01530204;Enschede;2019;18 - 24;269
Elferink-Heuwkamp;BU01530205;Enschede;2019;18 - 24;434
Stadsveld-Noord-Bruggert;BU01530206;Enschede;2019;18 - 24;216
't Zwering;BU01530207;Enschede;2019;18 - 24;186
Ruwenbos;BU01530208;Enschede;2019;18 - 24;116
Tubantia-Toekomst;BU01530300;Enschede;2019;18 - 24;751
Twekkelerveld;BU01530301;Enschede;2019;18 - 24;602
Walhof-Roessingh;BU01530400;Enschede;2019;18 - 24;297
Bolhaar;BU01530401;Enschede;2019;18 - 24;126
Roombeek-Roomveldje;BU01530402;Enschede;2019;18 - 24;543
Mekkelholt;BU01530403;Enschede;2019;18 - 24;268
Deppenbroek;BU01530404;Enschede;2019;18 - 24;572
Voortman-Amelink;BU01530405;Enschede;2019;18 - 24;79
Drienerveld-U.T.;BU01530406;Enschede;2019;18 - 24;1706
Schreurserve;BU01530500;Enschede;2019;18 - 24;279
Ribbelt-Ribbelerbrink;BU01530501;Enschede;2019;18 - 24;248
Park Stokhorst;BU01530502;Enschede;2019;18 - 24;218
Stokhorst;BU01530503;Enschede;2019;18 - 24;68
Stroinkslanden Noord-Oost;BU01530600;Enschede;2019;18 - 24;188
Stroinkslanden-Zuid;BU01530601;Enschede;2019;18 - 24;460
Stroinkslanden Noord-West;BU01530602;Enschede;2019;18 - 24;143
Wesselerbrink Noord-Oost;BU01530603;Enschede;2019;18 - 24;403
Wesselerbrink Zuid-Oost;BU01530604;Enschede;2019;18 - 24;395
Wesselerbrink Zuid-West;BU01530605;Enschede;2019;18 - 24;264
Wesselerbrink Noord-West;BU01530606;Enschede;2019;18 - 24;371
Helmerhoek-Noord;BU01530607;Enschede;2019;18 - 24;303
Helmerhoek-Zuid;BU01530608;Enschede;2019;18 - 24;332
het Brunink;BU01530609;Enschede;2019;18 - 24;52
Industrie- en havengebied;BU01530700;Enschede;2019;18 - 24;35
Marssteden;BU01530701;Enschede;2019;18 - 24;6
Koekoeksbeekhoek;BU01530702;Enschede;2019;18 - 24;2
Glanerveld;BU01530800;Enschede;2019;18 - 24;72
Bentveld-Bultserve;BU01530801;Enschede;2019;18 - 24;246
Schipholt-Glanermaten;BU01530802;Enschede;2019;18 - 24;271
Eekmaat;BU01530803;Enschede;2019;18 - 24;146
Oikos;BU01530804;Enschede;2019;18 - 24;169
Eilermarke;BU01530805;Enschede;2019;18 - 24;175
De Slank;BU01530806;Enschede;2019;18 - 24;23
Dolphia;BU01530807;Enschede;2019;18 - 24;52
Eekmaat West;BU01530808;Enschede;2019;18 - 24;210
Dorp Lonneker;BU01530900;Enschede;2019;18 - 24;126
Dorp Boekelo;BU01530901;Enschede;2019;18 - 24;153
Buurtschap Lonneker-West;BU01530902;Enschede;2019;18 - 24;138
Noord Esmarke;BU01530903;Enschede;2019;18 - 24;29
Buurtschap Zuid-Esmarke;BU01530904;Enschede;2019;18 - 24;23
Buurtschap Broekheurne;BU01530905;Enschede;2019;18 - 24;102
Buurtschap Usselo;BU01530906;Enschede;2019;18 - 24;29
Boekelerveld;BU01530907;Enschede;2019;18 - 24;77
Buurtschap Twekkelo;BU01530908;Enschede;2019;18 - 24;16
City;BU01530000;Enschede;2020;18 - 24;976
Lasonder, Zeggelt;BU01530001;Enschede;2020;18 - 24;271
De Laares;BU01530002;Enschede;2020;18 - 24;259
De Bothoven;BU01530003;Enschede;2020;18 - 24;908
Hogeland-Noord;BU01530004;Enschede;2020;18 - 24;411
Getfert;BU01530005;Enschede;2020;18 - 24;813
Veldkamp-Getfert-West;BU01530006;Enschede;2020;18 - 24;301
Horstlanden-Stadsweide;BU01530007;Enschede;2020;18 - 24;882
Boddenkamp;BU01530008;Enschede;2020;18 - 24;190
Velve-Lindenhof;BU01530100;Enschede;2020;18 - 24;638
Wooldrik;BU01530101;Enschede;2020;18 - 24;110
Hogeland-Zuid;BU01530102;Enschede;2020;18 - 24;161
Varvik-Diekman;BU01530103;Enschede;2020;18 - 24;329
Sleutelkamp;BU01530104;Enschede;2020;18 - 24;22
't Weldink;BU01530105;Enschede;2020;18 - 24;1
De Leuriks;BU01530106;Enschede;2020;18 - 24;11
Cromhoffsbleek-Kotman;BU01530200;Enschede;2020;18 - 24;450
Boswinkel-De Braker;BU01530201;Enschede;2020;18 - 24;502
Pathmos;BU01530202;Enschede;2020;18 - 24;203
Stevenfenne;BU01530203;Enschede;2020;18 - 24;587
Stadsveld-Zuid;BU01530204;Enschede;2020;18 - 24;285
Elferink-Heuwkamp;BU01530205;Enschede;2020;18 - 24;423
Stadsveld-Noord-Bruggert;BU01530206;Enschede;2020;18 - 24;212
't Zwering;BU01530207;Enschede;2020;18 - 24;183
Ruwenbos;BU01530208;Enschede;2020;18 - 24;130
Tubantia-Toekomst;BU01530300;Enschede;2020;18 - 24;747
Twekkelerveld;BU01530301;Enschede;2020;18 - 24;611
Walhof-Roessingh;BU01530400;Enschede;2020;18 - 24;326
Bolhaar;BU01530401;Enschede;2020;18 - 24;116
Roombeek-Roomveldje;BU01530402;Enschede;2020;18 - 24;563
Mekkelholt;BU01530403;Enschede;2020;18 - 24;267
Deppenbroek;BU01530404;Enschede;2020;18 - 24;558
Voortman-Amelink;BU01530405;Enschede;2020;18 - 24;68
Drienerveld-U.T.;BU01530406;Enschede;2020;18 - 24;1947
Schreurserve;BU01530500;Enschede;2020;18 - 24;283
Ribbelt-Ribbelerbrink;BU01530501;Enschede;2020;18 - 24;230
Park Stokhorst;BU01530502;Enschede;2020;18 - 24;219
Stokhorst;BU01530503;Enschede;2020;18 - 24;62
Stroinkslanden Noord-Oost;BU01530600;Enschede;2020;18 - 24;196
Stroinkslanden-Zuid;BU01530601;Enschede;2020;18 - 24;464
Stroinkslanden Noord-West;BU01530602;Enschede;2020;18 - 24;150
Wesselerbrink Noord-Oost;BU01530603;Enschede;2020;18 - 24;415
Wesselerbrink Zuid-Oost;BU01530604;Enschede;2020;18 - 24;379
Wesselerbrink Zuid-West;BU01530605;Enschede;2020;18 - 24;285
Wesselerbrink Noord-West;BU01530606;Enschede;2020;18 - 24;356
Helmerhoek-Noord;BU01530607;Enschede;2020;18 - 24;276
Helmerhoek-Zuid;BU01530608;Enschede;2020;18 - 24;345
het Brunink;BU01530609;Enschede;2020;18 - 24;55
Industrie- en havengebied;BU01530700;Enschede;2020;18 - 24;37
Marssteden;BU01530701;Enschede;2020;18 - 24;5
Koekoeksbeekhoek;BU01530702;Enschede;2020;18 - 24;2
Glanerveld;BU01530800;Enschede;2020;18 - 24;80
Bentveld-Bultserve;BU01530801;Enschede;2020;18 - 24;259
Schipholt-Glanermaten;BU01530802;Enschede;2020;18 - 24;254
Eekmaat;BU01530803;Enschede;2020;18 - 24;137
Oikos;BU01530804;Enschede;2020;18 - 24;182
Eilermarke;BU01530805;Enschede;2020;18 - 24;187
De Slank;BU01530806;Enschede;2020;18 - 24;23
Dolphia;BU01530807;Enschede;2020;18 - 24;51
Eekmaat West;BU01530808;Enschede;2020;18 - 24;203
Dorp Lonneker;BU01530900;Enschede;2020;18 - 24;122
Dorp Boekelo;BU01530901;Enschede;2020;18 - 24;145
Buurtschap Lonneker-West;BU01530902;Enschede;2020;18 - 24;157
Noord Esmarke;BU01530903;Enschede;2020;18 - 24;34
Buurtschap Zuid-Esmarke;BU01530904;Enschede;2020;18 - 24;24
Buurtschap Broekheurne;BU01530905;Enschede;2020;18 - 24;120
Buurtschap Usselo;BU01530906;Enschede;2020;18 - 24;34
Boekelerveld;BU01530907;Enschede;2020;18 - 24;83
Buurtschap Twekkelo;BU01530908;Enschede;2020;18 - 24;12
Buurt 00   City;BU01530000;Enschede;2006;25 - 39;854
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2006;25 - 39;333
Buurt 02   De Laares;BU01530002;Enschede;2006;25 - 39;411
Buurt 03   De Bothoven;BU01530003;Enschede;2006;25 - 39;1477
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2006;25 - 39;610
Buurt 05   Getfert;BU01530005;Enschede;2006;25 - 39;994
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2006;25 - 39;484
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2006;25 - 39;843
Buurt 08   Boddenkamp;BU01530008;Enschede;2006;25 - 39;144
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2006;25 - 39;1170
Buurt 11   Wooldrik;BU01530101;Enschede;2006;25 - 39;196
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2006;25 - 39;501
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2006;25 - 39;721
Buurt 14   Sleutelkamp;BU01530104;Enschede;2006;25 - 39;26
Buurt 15   't Weldink;BU01530105;Enschede;2006;25 - 39;1
Buurt 16   De Leuriks;BU01530106;Enschede;2006;25 - 39;6
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2006;25 - 39;559
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2006;25 - 39;1074
Buurt 22   Pathmos;BU01530202;Enschede;2006;25 - 39;396
Buurt 23   Stevenfenne;BU01530203;Enschede;2006;25 - 39;1303
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2006;25 - 39;413
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2006;25 - 39;704
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2006;25 - 39;451
Buurt 27   't Zwering;BU01530207;Enschede;2006;25 - 39;396
Buurt 28   Ruwenbos;BU01530208;Enschede;2006;25 - 39;418
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2006;25 - 39;1259
Buurt 31   Twekkelerveld;BU01530301;Enschede;2006;25 - 39;1180
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2006;25 - 39;618
Buurt 41   Bolhaar;BU01530401;Enschede;2006;25 - 39;203
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2006;25 - 39;843
Buurt 43   Mekkelholt;BU01530403;Enschede;2006;25 - 39;526
Buurt 44   Deppenbroek;BU01530404;Enschede;2006;25 - 39;1117
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2006;25 - 39;278
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2006;25 - 39;630
Buurt 50   Schreurserve;BU01530500;Enschede;2006;25 - 39;483
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2006;25 - 39;449
Buurt 52   Park Stokhorst;BU01530502;Enschede;2006;25 - 39;683
Buurt 53   Stokhorst;BU01530503;Enschede;2006;25 - 39;82
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2006;25 - 39;505
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2006;25 - 39;1197
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2006;25 - 39;457
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2006;25 - 39;839
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2006;25 - 39;736
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2006;25 - 39;641
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2006;25 - 39;1007
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2006;25 - 39;731
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2006;25 - 39;827
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2006;25 - 39;57
Buurt 71   Marssteden;BU01530701;Enschede;2006;25 - 39;15
Buurt 73   Kennispark;BU01530703;Enschede;2006;25 - 39;7
Buurt 80   Glanerveld;BU01530800;Enschede;2006;25 - 39;232
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2006;25 - 39;569
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2006;25 - 39;605
Buurt 83   Eekmaat;BU01530803;Enschede;2006;25 - 39;413
Buurt 84   Oikos;BU01530804;Enschede;2006;25 - 39;789
Buurt 85   Eilermarke;BU01530805;Enschede;2006;25 - 39;614
Buurt 86   De Slank;BU01530806;Enschede;2006;25 - 39;34
Buurt 87   Dolphia;BU01530807;Enschede;2006;25 - 39;158
Buurt 88   Eekmaat West;BU01530808;Enschede;2006;25 - 39;1001
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2006;25 - 39;260
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2006;25 - 39;253
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2006;25 - 39;158
Buurt 93   Noord Esmarke;BU01530903;Enschede;2006;25 - 39;65
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2006;25 - 39;52
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2006;25 - 39;204
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2006;25 - 39;40
Buurt 97   Boekelerveld;BU01530907;Enschede;2006;25 - 39;126
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2006;25 - 39;37
Buurt XX   Buurt onbekend;BU0153XXXX;Enschede;2006;25 - 39;1
Buurt 00   City;BU01530000;Enschede;2007;25 - 39;863
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2007;25 - 39;303
Buurt 02   De Laares;BU01530002;Enschede;2007;25 - 39;301
Buurt 03   De Bothoven;BU01530003;Enschede;2007;25 - 39;1432
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2007;25 - 39;624
Buurt 05   Getfert;BU01530005;Enschede;2007;25 - 39;1121
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2007;25 - 39;484
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2007;25 - 39;818
Buurt 08   Boddenkamp;BU01530008;Enschede;2007;25 - 39;147
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2007;25 - 39;1139
Buurt 11   Wooldrik;BU01530101;Enschede;2007;25 - 39;196
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2007;25 - 39;492
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2007;25 - 39;759
Buurt 14   Sleutelkamp;BU01530104;Enschede;2007;25 - 39;26
Buurt 15   't Weldink;BU01530105;Enschede;2007;25 - 39;2
Buurt 16   De Leuriks;BU01530106;Enschede;2007;25 - 39;8
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2007;25 - 39;583
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2007;25 - 39;1008
Buurt 22   Pathmos;BU01530202;Enschede;2007;25 - 39;487
Buurt 23   Stevenfenne;BU01530203;Enschede;2007;25 - 39;1266
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2007;25 - 39;429
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2007;25 - 39;700
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2007;25 - 39;429
Buurt 27   't Zwering;BU01530207;Enschede;2007;25 - 39;359
Buurt 28   Ruwenbos;BU01530208;Enschede;2007;25 - 39;391
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2007;25 - 39;1207
Buurt 31   Twekkelerveld;BU01530301;Enschede;2007;25 - 39;1132
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2007;25 - 39;623
Buurt 41   Bolhaar;BU01530401;Enschede;2007;25 - 39;202
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2007;25 - 39;914
Buurt 43   Mekkelholt;BU01530403;Enschede;2007;25 - 39;526
Buurt 44   Deppenbroek;BU01530404;Enschede;2007;25 - 39;1130
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2007;25 - 39;261
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2007;25 - 39;631
Buurt 50   Schreurserve;BU01530500;Enschede;2007;25 - 39;476
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2007;25 - 39;442
Buurt 52   Park Stokhorst;BU01530502;Enschede;2007;25 - 39;670
Buurt 53   Stokhorst;BU01530503;Enschede;2007;25 - 39;72
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2007;25 - 39;501
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2007;25 - 39;1181
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2007;25 - 39;450
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2007;25 - 39;768
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2007;25 - 39;701
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2007;25 - 39;623
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2007;25 - 39;981
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2007;25 - 39;695
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2007;25 - 39;808
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2007;25 - 39;50
Buurt 71   Marssteden;BU01530701;Enschede;2007;25 - 39;9
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2007;25 - 39;3
Buurt 73   Kennispark;BU01530703;Enschede;2007;25 - 39;6
Buurt 80   Glanerveld;BU01530800;Enschede;2007;25 - 39;246
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2007;25 - 39;537
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2007;25 - 39;596
Buurt 83   Eekmaat;BU01530803;Enschede;2007;25 - 39;419
Buurt 84   Oikos;BU01530804;Enschede;2007;25 - 39;867
Buurt 85   Eilermarke;BU01530805;Enschede;2007;25 - 39;607
Buurt 86   De Slank;BU01530806;Enschede;2007;25 - 39;32
Buurt 87   Dolphia;BU01530807;Enschede;2007;25 - 39;132
Buurt 88   Eekmaat West;BU01530808;Enschede;2007;25 - 39;942
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2007;25 - 39;265
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2007;25 - 39;258
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2007;25 - 39;161
Buurt 93   Noord Esmarke;BU01530903;Enschede;2007;25 - 39;56
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2007;25 - 39;32
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2007;25 - 39;190
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2007;25 - 39;29
Buurt 97   Boekelerveld;BU01530907;Enschede;2007;25 - 39;131
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2007;25 - 39;36
Buurt 00   City;BU01530000;Enschede;2008;25 - 39;877
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2008;25 - 39;277
Buurt 02   De Laares;BU01530002;Enschede;2008;25 - 39;365
Buurt 03   De Bothoven;BU01530003;Enschede;2008;25 - 39;1431
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2008;25 - 39;584
Buurt 05   Getfert;BU01530005;Enschede;2008;25 - 39;1203
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2008;25 - 39;467
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2008;25 - 39;715
Buurt 08   Boddenkamp;BU01530008;Enschede;2008;25 - 39;152
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2008;25 - 39;1014
Buurt 11   Wooldrik;BU01530101;Enschede;2008;25 - 39;187
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2008;25 - 39;487
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2008;25 - 39;754
Buurt 14   Sleutelkamp;BU01530104;Enschede;2008;25 - 39;39
Buurt 15   't Weldink;BU01530105;Enschede;2008;25 - 39;1
Buurt 16   De Leuriks;BU01530106;Enschede;2008;25 - 39;8
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2008;25 - 39;594
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2008;25 - 39;1030
Buurt 22   Pathmos;BU01530202;Enschede;2008;25 - 39;537
Buurt 23   Stevenfenne;BU01530203;Enschede;2008;25 - 39;1261
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2008;25 - 39;400
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2008;25 - 39;701
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2008;25 - 39;417
Buurt 27   't Zwering;BU01530207;Enschede;2008;25 - 39;347
Buurt 28   Ruwenbos;BU01530208;Enschede;2008;25 - 39;369
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2008;25 - 39;1160
Buurt 31   Twekkelerveld;BU01530301;Enschede;2008;25 - 39;1055
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2008;25 - 39;615
Buurt 41   Bolhaar;BU01530401;Enschede;2008;25 - 39;201
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2008;25 - 39;943
Buurt 43   Mekkelholt;BU01530403;Enschede;2008;25 - 39;529
Buurt 44   Deppenbroek;BU01530404;Enschede;2008;25 - 39;1129
