Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2007;0-17;332
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2007;0-17;258
Buurt 08   Boddenkamp;BU01530008;Enschede;2007;0-17;56
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2007;0-17;1060
Buurt 11   Wooldrik;BU01530101;Enschede;2007;0-17;255
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2007;0-17;521
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2007;0-17;780
Buurt 14   Sleutelkamp;BU01530104;Enschede;2007;0-17;25
Buurt 15   't Weldink;BU01530105;Enschede;2007;0-17;1
Buurt 16   De Leuriks;BU01530106;Enschede;2007;0-17;28
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2007;0-17;386
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2007;0-17;734
Buurt 22   Pathmos;BU01530202;Enschede;2007;0-17;377
Buurt 23   Stevenfenne;BU01530203;Enschede;2007;0-17;933
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2007;0-17;274
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2007;0-17;531
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2007;0-17;446
Buurt 27   't Zwering;BU01530207;Enschede;2007;0-17;706
Buurt 28   Ruwenbos;BU01530208;Enschede;2007;0-17;523
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2007;0-17;954
Buurt 31   Twekkelerveld;BU01530301;Enschede;2007;0-17;647
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2007;0-17;457
Buurt 41   Bolhaar;BU01530401;Enschede;2007;0-17;295
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2007;0-17;710
Buurt 43   Mekkelholt;BU01530403;Enschede;2007;0-17;347
Buurt 44   Deppenbroek;BU01530404;Enschede;2007;0-17;897
